duchowny	katolicki	-0.057391
się	na	-1.184088
się	do	-1.321048
zobacz	też	-0.026438
na	sejm	-1.526815
katolicki	biskup	-0.416579
wykładowca	akademicki	-0.012336
poseł	na	-0.038291
piłkarz	trener	-0.783906
amerykański	aktor	-0.822641
polityk	ur	-0.888307
znajduje	się	-0.022055
linki	zewnętrzne	-0.007308
polityk	zm	-0.933602
polityk	poseł	-0.936151
względu	na	-0.021301
amerykańska	aktorka	-0.411091
ze	względu	-0.711704
jest	to	-1.255110
przypisy	bibliografia	-0.410283
pochodzenia	żydowskiego	-0.599213
na	terenie	-1.715827
polski	aktor	-1.312668
po	raz	-1.070050
amerykański	koszykarz	-0.970244
nie	jest	-1.134815
polski	duchowny	-1.353229
na	świecie	-1.766311
tym	samym	-0.814368
bitwie	pod	-0.163603
polski	polityk	-1.398998
polityk	premier	-1.115859
od	do	-1.265201
się	od	-1.743899
wojny	światowej	-0.488916
aktor	zm	-0.780056
polski	piłkarz	-1.451450
może	być	-0.527689
amerykański	polityk	-1.101347
od	roku	-1.317680
polska	aktorka	-0.924136
prawnik	polityk	-0.385335
raz	pierwszy	-0.270104
na	początku	-1.893677
piłkarz	bramkarz	-1.105127
katolicki	arcybiskup	-0.780231
pod	koniec	-1.033812
akademicki	ur	-0.381082
piłkarz	zm	-1.117679
polityk	prezydent	-1.208629
przede	wszystkim	-0.001028
członek	zespołu	-0.280629
ur	ok	-1.584979
za	pomocą	-1.070280
wielkiej	brytanii	-0.195381
znajdują	się	-0.024348
się	że	-1.835296
na	podstawie	-1.954180
polski	historyk	-1.548103
stał	się	-0.060805
aktor	ur	-0.892522
kolarz	szosowy	-0.238127
reżyser	scenarzysta	-0.528598
nagrody	nobla	-0.215365
doszło	do	-0.132518
piłkarz	ur	-1.199269
kierowca	wyścigowy	-0.083988
reżyser	filmowy	-0.550874
przypisy	linki	-0.714874
polski	prawnik	-1.597990
aktor	reżyser	-0.931388
polski	dziennikarz	-1.604535
nie	ma	-1.397638
polski	malarz	-1.618305
aktorka	zm	-0.826419
stanów	zjednoczonych	-0.132939
aż	do	-0.188189
ur	jan	-1.705232
podobnie	jak	-0.144719
na	rzecz	-2.050052
odbyła	się	-0.017210
pisarz	zm	-0.788039
żydowskiego	ur	-0.421576
rozpoczęła	się	-0.152482
między	innymi	-0.711458
do	roku	-1.899886
polityk	senator	-1.356094
scenarzysta	filmowy	-0.327046
producent	filmowy	-0.326619
polski	działacz	-1.659112
został	premierem	-1.215690
żydowskiego	zm	-0.440578
ten	sposób	-0.772731
po	śmierci	-1.410433
włoski	duchowny	-0.844494
laureat	nagrody	-0.067494
polski	pisarz	-1.670262
zm	jan	-1.767101
zostało	rannych	-0.556469
na	przykład	-2.083620
pod	względem	-1.213991
polski	generał	-1.678002
działacz	społeczny	-0.726246
urodzili	się	0.000000
